Operator:  ,DAM,,,He:  ,14.0,,,,,,,,,,,
Description:  ,Algae,,,CO2:  ,13.0,,,,,,,,,,,
Comment:  ,H. Young,,,N2:  ,15.0,,,,,,,,,,,
Note: Algae could contain carbonate making the d13C a total carbon signal,,,,,,,,,,,,,,,,
Date,ID#1,ID#2,ID#3,Wt (mg),Amp(V),Amp(V),Wt. % N,Wt. % C,d15N,d13C,C:N,Run,,,,
06/29/09,PYCL5,homog-cladoph,Pisonia Y,3.443,0.490,3.248,0.70,14.85,10.71,-6.57,24.79,18,,,,
06/29/09,TLCL1,homog-cladoph,Tereitannano,3.493,0.749,3.826,1.04,17.52,5.12,-8.81,19.57,19,,,,
06/29/09,TLCL2,homog-cladoph,Tereitannano,3.513,0.648,3.608,0.90,16.31,5.33,-7.62,21.13,20,,,,
06/29/09,TLCL3,homog-cladoph,Tereitannano,3.488,0.657,3.689,0.92,16.87,5.05,-8.27,21.47,21,,,,
06/29/09,TLCL4,homog-cladoph,Tereitannano,3.480,0.759,3.836,1.06,17.66,4.95,-9.25,19.36,22,,,,
06/29/09,TLCL5,homog-cladoph,Tereitannano,3.561,0.703,3.755,0.96,16.88,5.19,-8.27,20.52,23,,,,
06/29/09,P4T3,turf algae-v,Pisonia 4,2.969,0.631,2.971,1.06,15.83,15.66,-7.27,17.49,29,,,,
06/29/09,P4T4,turf algae-v,Pisonia 4,3.014,1.069,4.045,1.73,21.77,15.45,-6.14,14.64,30,,,,
06/29/09,P4T5,turf algae-v,Pisonia 4,2.902,0.659,3.086,1.13,16.87,15.39,-6.43,17.46,31,,,,
06/29/09,C4T1,turf algae-homo,Cocos 4,3.098,0.812,4.302,1.27,22.70,7.19,-6.33,20.89,32,,,,
06/29/09,C4T2,turf algae-homo,Cocos 4,3.000,0.891,4.307,1.44,23.42,7.76,-6.64,18.99,33,,,,
06/29/09,C4T3,turf algae-homo,Cocos 4,2.906,0.782,4.159,1.31,23.32,6.94,-6.31,20.77,34,,,,
06/29/09,C4T4,turf algae-homo,Cocos 4,2.947,0.827,4.314,1.36,23.93,6.74,-7.49,20.47,35,,,,
06/29/09,C4T5,turf algae-homo,Cocos 4,3.047,0.753,4.192,1.20,22.40,7.21,-6.63,21.82,36,,,,
06/29/09,2F-1,HALIMEDA,,8.519,0.762,6.740,0.42,14.33,7.77,-4.84,39.95,37,,,,
06/29/09,2F-2,Avrainvilla,,2.592,0.773,3.096,1.47,18.86,8.66,-12.61,14.96,38,,,,
06/29/09,2F-3,Dictyspheaeria,,8.491,2.127,8.167,1.17,18.93,8.54,-6.19,18.90,39,,,,
06/29/09,z2,zooplankton,ocean,0.955,1.226,1.606,6.37,25.98,6.26,-18.01,4.76,40,,,,
06/29/09,z1,zooplankton,ocean,0.918,0.321,1.049,1.74,17.49,6.89,-8.97,11.69,41,,,,
06/29/09,z4,zooplankton,ocean,0.966,0.160,0.887,0.84,13.96,6.81,-5.86,19.46,42,,,,
06/29/09,z6,zooplankton,ocean,0.959,1.320,1.868,6.78,30.06,7.57,-17.58,5.17,43,,,,
06/29/09,lz1,zooplankton,lagoon,0.864,0.394,1.173,2.27,20.75,8.94,-8.28,10.67,44,,,,
06/29/09,lz5,zooplankton,lagoon,0.864,0.199,1.148,1.15,20.32,5.53,-11.14,20.60,45,,,,
06/29/09,lz2,zooplankton,lagoon,0.878,0.238,1.238,1.34,21.55,8.04,-11.26,18.71,46,,,,
